url,title,price,lat,lon,Балкон,Балкон остеклён,Безопасность,Бывшее общежитие,Возможен обмен,Высота потолков,Год постройки,Город,Дверь,Жилой комплекс,Интернет,Квартира меблирована,Парковка,Площадь,Пол,Санузел,Состояние квартиры,Телефон,Тип дома,Этаж
https://krisha.kz/a/show/1012946486,"3-комнатная квартира · 69 м² · 9/17 этаж, Бектурова 17/1",39500000,51.118890713526,71.395700050262,,,,нет,Нет,3 м,2022,"Астана, Нура р-н",,,,,,69 м²,,,,,монолитный,9 из 17
https://krisha.kz/a/show/1011533705,"2-комнатная квартира · 39 м² · 7/12 этаж, Молдагалиев 13",32000000,51.124655788307,71.378330816117,,,"видеонаблюдение, видеодомофон",нет,Нет,3 м,2025,"Астана, Нура р-н",бронированная,Delta Prime,,полностью,паркинг,39 м²,ламинат,,,,монолитный,7 из 12
https://krisha.kz/a/show/1012947005,"3-комнатная квартира · 70 м² · 7/18 этаж, Е-36 6 — G block, паркинг и кладовка",42000000,51.120570698644,71.380655083726,,,,нет,Нет,3 м,2021,"Астана, Нура р-н",,Respublika,,,паркинг,70 м²,,,,,монолитный,7 из 18
https://krisha.kz/a/show/1012946990,"2-комнатная квартира · 49.1 м² · 5/5 этаж, Маскеу 17/1",21000000,51.181141,71.398162,,,,нет,Нет,,1990,"Астана, Сарыарка р-н",,,,,,49.1 м²,,,,,,5 из 5
https://krisha.kz/a/show/1012946903,"2-комнатная квартира · 61.7 м² · 7/9 этаж, Мухамедханова 28",30550000,51.143958,71.361654,лоджия,да,"домофон, видеонаблюдение",нет,Нет,,2020,"Астана, Нура р-н",металлическая,,проводной,полностью,,61.7 м²,,раздельный,,есть возможность подключения,,7 из 9
https://krisha.kz/a/show/1012946433,"2-комнатная квартира · 70 м² · 2/16 этаж, Ильяса Омарова 3",27600000,51.133803000055,71.366619143516,лоджия,да,"домофон, видеонаблюдение",нет,Нет,,2019,"Астана, Нура р-н",бронированная,,,,,70 м²,,,свежий ремонт,,монолитный,2 из 16
https://krisha.kz/a/show/1012453144,"3-комнатная квартира · 68 м² · 2/12 этаж, молдагалиева",42800000,51.126228,71.365544,,,,нет,Нет,3 м,2021,"Астана, Нура р-н",,Delta,,,,68 м²,,,,,монолитный,2 из 12
https://krisha.kz/a/show/1012548083,"2-комнатная квартира · 39 м² · 3/5 этаж, желтоксан 6 — напротив 1 школы",20000000,51.162935,71.417916,,,домофон,нет,Нет,2.7 м,1962,"Астана, Сарыарка р-н",металлическая,,,частично,рядом охраняемая стоянка,"39 м², Площадь кухни — 6 м²",паркет,раздельный,требует ремонта,отдельный,панельный,3 из 5
https://krisha.kz/a/show/1012946367,"3-комнатная квартира · 108 м², Кошкарбаева 1 — Момышулы",105000000,51.129258135817,71.463185923378,,,,нет,Нет,3.15 м,2025,"Астана, Алматы р-н",,La Vie,,,паркинг,108 м²,,,,,монолитный,
https://krisha.kz/a/show/1012947009,"1-комнатная квартира · 35.4 м² · 5/17 этаж, Бектурова 4/6",25200000,51.120120793032,71.397829055786,лоджия,да,"домофон, сигнализация, видеонаблюдение",,Нет,2.75 м,2022,"Астана, Нура р-н",металлическая,Алтын Шар 2,,полностью,,"35.4 м², Площадь кухни — 10 м²",ламинат,совмещенный,"не новый, но аккуратный ремонт",,монолитный,5 из 17
https://krisha.kz/a/show/1011062731,"4-комнатная квартира · 170 м² · 12/14 этаж, Туран 3, 3в, 3д, 3/1, 3/2, 3/3, 3/4, 5/2, 5/3, 5/4, 5/5, 5/6, 5/7, 5/8, 5/9",200000000,51.153162317487,71.410188674927,балкон,да,"охрана, домофон, видеонаблюдение, видеодомофон",нет,Нет,3 м,2019,"Астана, Нура р-н",металлическая,Central Park,ADSL,полностью,паркинг,"170 м², Площадь кухни — 20 м²",ламинат,2 с/у и более,"не новый, но аккуратный ремонт",,монолитный,12 из 14
https://krisha.kz/a/show/1011107154,"5-комнатная квартира · 147 м² · 9/11 этаж, Жошы хан",140000000,51.098059978016,71.436572111232,несколько балконов или лоджий,,"домофон, кодовый замок, видеонаблюдение, видеодомофон",нет,Да,3 м,2024,"Астана, Есильский р-н",бронированная,Amal',оптика,полностью,паркинг,"147 м², Площадь кухни — 18 м²",паркет,2 с/у и более,свежий ремонт,,монолитный,9 из 11
https://krisha.kz/a/show/1012946896,"1-комнатная квартира · 40.5 м² · 4/9 этаж, Шолпан Иманбаевой 2",25000000,51.160304980712,71.436429060995,,,,нет,Нет,2.7 м,2011,"Астана, р-н Байконур",,Байконыс,,,паркинг,40.5 м²,,,,,кирпичный,4 из 9
